number,genus,metabolism,treatment,rep,run1,run2,seconds,gas_id,gas_mM
180,Plocamium,nonccm,Low,1,Dark2,Dark,536,O2,8.494049003
181,Plocamium,nonccm,Low,1,Dark2,Dark,550,O2,8.478014251
182,Plocamium,nonccm,Low,1,Dark2,Dark,563,O2,8.512924558
183,Plocamium,nonccm,Low,1,Dark2,Dark,576,O2,8.323853366
184,Plocamium,nonccm,Low,1,Dark2,Dark,591,O2,8.242227639
185,Plocamium,nonccm,Low,1,Dark2,Dark,604,O2,8.448028002
186,Pyropia,nonccm,High,1,Dark1,Dark,320,O2,8.939802488
187,Pyropia,nonccm,High,1,Dark1,Dark,334,O2,9.20488093
188,Pyropia,nonccm,High,1,Dark1,Dark,348,O2,9.206269767
189,Pyropia,nonccm,High,1,Dark1,Dark,362,O2,9.225145322
190,Pyropia,nonccm,High,1,Dark1,Dark,376,O2,8.842142009
191,Pyropia,nonccm,High,1,Dark1,Dark,389,O2,8.840753172
192,Pyropia,nonccm,High,1,Dark1,Dark,402,O2,9.452535783
193,Pyropia,nonccm,High,1,Dark1,Dark,415,O2,9.163720858
194,Pyropia,nonccm,High,1,Dark1,Dark,429,O2,9.25096506
195,Pyropia,nonccm,High,1,Dark1,Dark,442,O2,8.764367148
196,Pyropia,nonccm,High,1,Dark1,Dark,456,O2,8.74448153
197,Pyropia,nonccm,High,1,Dark1,Dark,469,O2,9.52576536
198,Pyropia,nonccm,High,1,Dark1,Dark,483,O2,9.216054753
199,Pyropia,nonccm,High,1,Dark1,Dark,496,O2,8.803822739
200,Pyropia,nonccm,High,1,Dark1,Dark,510,O2,9.049331208
201,Pyropia,nonccm,High,1,Dark1,Dark,523,O2,8.754960935
202,Pyropia,nonccm,High,1,Dark1,Dark,536,O2,9.211888243
203,Pyropia,nonccm,High,1,Dark1,Dark,550,O2,9.132345772
204,Pyropia,nonccm,High,1,Dark1,Dark,563,O2,9.127484843
205,Pyropia,nonccm,High,1,Dark1,Dark,577,O2,9.103748359
206,Pyropia,nonccm,High,1,Dark1,Dark,590,O2,8.893087068
207,Pyropia,nonccm,High,1,Dark1,Dark,604,O2,8.844225264
208,Pyropia,nonccm,High,1,Dark1,Dark,617,O2,9.075845365
209,Pyropia,nonccm,High,1,Light1,Light,192,O2,9.506952935
210,Pyropia,nonccm,High,1,Light1,Light,206,O2,9.964574661
211,Pyropia,nonccm,High,1,Light1,Light,220,O2,10.11381149
212,Pyropia,nonccm,High,1,Light1,Light,234,O2,10.1208188
213,Pyropia,nonccm,High,1,Light1,Light,248,O2,10.66978811
214,Pyropia,nonccm,High,1,Light1,Light,262,O2,10.88537346
215,Pyropia,nonccm,High,1,Light1,Light,275,O2,10.95582536
216,Pyropia,nonccm,High,1,Light1,Light,288,O2,10.98334958
217,Pyropia,nonccm,High,1,Light1,Light,302,O2,11.52714232
218,Pyropia,nonccm,High,1,Light1,Light,315,O2,10.94604038
219,Pyropia,nonccm,High,1,Light1,Light,329,O2,11.36666854
220,Pyropia,nonccm,High,1,Light1,Light,342,O2,12.00704857
221,Pyropia,nonccm,High,1,Light1,Light,356,O2,12.01544472
222,Pyropia,nonccm,High,1,Light1,Light,369,O2,11.78243578
223,Pyropia,nonccm,High,1,Light1,Light,383,O2,12.14170261
224,Pyropia,nonccm,High,1,Light1,Light,396,O2,12.2051472
225,Pyropia,nonccm,High,1,Light1,Light,410,O2,12.54137196
226,Pyropia,nonccm,High,1,Light1,Light,423,O2,12.97386837
227,Pyropia,nonccm,High,1,Light1,Light,436,O2,12.95227827
228,Pyropia,nonccm,High,1,Light1,Light,451,O2,13.21735671
229,Pyropia,nonccm,High,1,Light1,Light,464,O2,12.57350459
230,Pyropia,nonccm,High,1,Light1,Light,478,O2,13.30800988
231,Pyropia,nonccm,High,1,Light1,Light,491,O2,12.90625727
232,Pyropia,nonccm,High,1,Light1,Light,505,O2,13.41614976
233,Pyropia,nonccm,High,1,Light1,Light,519,O2,14.06631477
234,Pyropia,nonccm,High,1,Light1,Light,533,O2,14.04813363
235,Pyropia,nonccm,High,1,Light1,Light,546,O2,13.80540284
236,Pyropia,nonccm,High,1,Light1,Light,561,O2,14.63131883
237,Pyropia,nonccm,High,1,Light1,Light,574,O2,15.11684355
238,Pyropia,nonccm,High,1,Light1,Light,588,O2,15.11753797
239,Pyropia,nonccm,High,1,Light1,Light,601,O2,15.06728733
240,Pyropia,nonccm,High,1,Light1,Light,615,O2,15.6072292
241,Pyropia,nonccm,High,1,Light1,Light,628,O2,15.83045315
242,Pyropia,nonccm,High,1,Dark2,Dark,205,O2,15.16494781
243,Pyropia,nonccm,High,1,Dark2,Dark,219,O2,15.54233265
244,Pyropia,nonccm,High,1,Dark2,Dark,233,O2,14.72411838
245,Pyropia,nonccm,High,1,Dark2,Dark,247,O2,14.98010626
246,Pyropia,nonccm,High,1,Dark2,Dark,261,O2,15.23539971
247,Pyropia,nonccm,High,1,Dark2,Dark,275,O2,15.55628414
248,Pyropia,nonccm,High,1,Dark2,Dark,289,O2,14.92013376
249,Pyropia,nonccm,High,1,Dark2,Dark,303,O2,14.71363898
250,Pyropia,nonccm,High,1,Dark2,Dark,316,O2,15.23401088
251,Pyropia,nonccm,High,1,Dark2,Dark,330,O2,15.02688481
252,Pyropia,nonccm,High,1,Dark2,Dark,343,O2,14.66970123
253,Pyropia,nonccm,High,1,Dark2,Dark,357,O2,14.43738671
254,Pyropia,nonccm,High,1,Dark2,Dark,370,O2,14.32160823
255,Pyropia,nonccm,High,1,Dark2,Dark,384,O2,14.55739484
256,Pyropia,nonccm,High,1,Dark2,Dark,397,O2,14.57273517
257,Pyropia,nonccm,High,1,Dark2,Dark,410,O2,14.55878367
258,Pyropia,nonccm,High,1,Dark2,Dark,423,O2,14.81199387
259,Pyropia,nonccm,High,1,Dark2,Dark,437,O2,14.19604475
260,Pyropia,nonccm,High,1,Dark2,Dark,451,O2,14.72272955
261,Pyropia,nonccm,High,1,Dark2,Dark,465,O2,14.61111757
262,Pyropia,nonccm,High,1,Dark2,Dark,479,O2,14.75757672
263,Pyropia,nonccm,High,1,Dark2,Dark,492,O2,14.52601975
264,Pyropia,nonccm,High,1,Dark2,Dark,506,O2,14.8168548
265,Pyropia,nonccm,High,1,Dark2,Dark,519,O2,14.49388712
266,Pyropia,nonccm,High,1,Dark2,Dark,532,O2,14.92991874
267,Pyropia,nonccm,High,1,Dark2,Dark,546,O2,14.42103631
268,Pyropia,nonccm,High,1,Dark2,Dark,560,O2,13.90098006
269,Pyropia,nonccm,High,1,Dark2,Dark,573,O2,14.37741421
270,Pyropia,nonccm,High,1,Dark2,Dark,587,O2,14.02161948
271,Pyropia,nonccm,High,1,Dark2,Dark,601,O2,14.66900681
272,Pyropia,nonccm,High,1,Dark2,Dark,614,O2,14.11025252
273,Hymenena,nonccm,Low,1,Dark1,Dark,83,O2,10.44309207
274,Hymenena,nonccm,Low,1,Dark1,Dark,96,O2,9.82992062
275,Hymenena,nonccm,Low,1,Dark1,Dark,110,O2,9.366049128
276,Hymenena,nonccm,Low,1,Dark1,Dark,123,O2,9.900372523
277,Hymenena,nonccm,Low,1,Dark1,Dark,136,O2,9.812497031
278,Hymenena,nonccm,Low,1,Dark1,Dark,150,O2,9.529995
279,Hymenena,nonccm,Low,1,Dark1,Dark,164,O2,9.843177699
280,Hymenena,nonccm,Low,1,Dark1,Dark,178,O2,9.681315082
281,Hymenena,nonccm,Low,1,Dark1,Dark,192,O2,9.92688668
